title,is_favorite,date_added,confidence,notes
Batman & Robin,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Batman Begins,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Batman Forever,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Batman Returns,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Battle of the Sexes,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Battle Royale,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Be Kind Rewind,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Beach,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bean: The Movie,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Beat Street,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
A Beautiful Mind,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Beauty and the Beast,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bedtime Stories,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bedknobs and Broomsticks,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bee Movie,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Beerfest,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Beethoven,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Beetlejuice,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Being Elmo,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Being John Malkovich,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Beowulf,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Beverly Hills Cop,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Beverly Hills Ninja,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bewitched,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Beyond a Reasonable Doubt,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The BFG,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bicentennial Man,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Big,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Big Daddy,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Big Fat Liar,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Big Fish,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Big Hero 6,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Big Lebowski,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Big Momma’s House,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Big Short,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
